time, x_accel, y_accel, z_accel, speed, steer, roll, pitch, yaw, x_gps, y_gps, x_real, y_real, z_real
0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, -1.570796, -183.800003, 80.199997, -183.800003, 80.199997, 1.512195
0.023000, 0.000000, 0.001128, -0.000000, 0.000260, 0.000000, -0.000151, 0.000147, -1.570797, -183.800095, 80.199966, -183.800095, 80.199966, 1.009917
0.056000, 0.000000, 0.001093, -0.000000, 0.000223, 1.000000, -0.000132, 0.000128, -1.570797, -183.800110, 80.199974, -183.800110, 80.199974, 1.012796
0.089000, 0.000000, 0.000953, -0.000000, 0.000191, 1.000000, -0.000115, 0.000111, -1.570797, -183.800125, 80.199974, -183.800125, 80.199974, 1.015249
0.122000, 0.000008, 0.337135, -0.000006, -0.011046, 1.000000, -0.000043, 0.000015, -1.570820, -183.800232, 80.200226, -183.800232, 80.200226, 1.017319
0.155000, 0.000274, -1.446225, 0.000331, 0.037161, 1.000000, -0.000191, 0.000292, -1.570544, -183.799896, 80.198586, -183.799896, 80.198586, 1.019119
0.188000, 0.000227, 0.058673, 0.000115, 0.035205, 1.000000, -0.000307, 0.000418, -1.570315, -183.799561, 80.197128, -183.799561, 80.197128, 1.020621
0.221000, 0.000416, -0.486324, 0.000390, 0.051416, 1.000000, -0.000406, 0.000539, -1.570197, -183.799210, 80.195404, -183.799210, 80.195404, 1.021883
0.254000, 0.006513, -2.249774, 0.003052, 0.126409, 1.000000, -0.001246, 0.001024, -1.568835, -183.797119, 80.191231, -183.797119, 80.191231, 1.022998
0.287000, 0.021075, -2.448109, 0.006616, 0.208015, 1.000000, -0.002239, 0.001683, -1.566227, -183.793839, 80.184525, -183.793839, 80.184525, 1.023967
0.320000, 0.045193, -2.790308, 0.012139, 0.301034, 1.000000, -0.003214, 0.002507, -1.562635, -183.789368, 80.174728, -183.789368, 80.174728, 1.024815
0.353000, 0.124947, -5.478448, 0.032663, 0.483686, 1.000000, -0.005088, 0.003811, -1.557106, -183.781754, 80.159714, -183.781754, 80.159714, 1.025615
0.386000, 0.153406, -2.259343, 0.027958, 0.559079, 1.000000, -0.007054, 0.004964, -1.549804, -183.771622, 80.141167, -183.771622, 80.141167, 1.026292
0.419000, 0.198831, -1.510158, 0.019422, 0.609574, 1.000000, -0.009069, 0.005615, -1.540667, -183.758987, 80.121506, -183.758987, 80.121506, 1.026811
0.452000, 0.375418, -3.771693, 0.039532, 0.735674, 1.000000, -0.011644, 0.006444, -1.528812, -183.742416, 80.098091, -183.742416, 80.098091, 1.027291
0.485000, 0.551487, -4.106488, 0.051344, 0.873308, 1.000000, -0.014318, 0.007388, -1.514359, -183.722183, 80.070435, -183.722183, 80.070435, 1.027728
0.518000, 0.647776, -3.043167, 0.045140, 0.975940, 1.000000, -0.016706, 0.008153, -1.498131, -183.698944, 80.039902, -183.698944, 80.039902, 1.028086
0.551000, 0.764814, -2.753606, 0.038708, 1.069508, 1.000000, -0.018538, 0.008646, -1.480586, -183.673416, 80.007309, -183.673416, 80.007309, 1.028353
0.584000, 0.823699, -1.980995, 0.026299, 1.137953, 1.000000, -0.019999, 0.008896, -1.461782, -183.645477, 79.972969, -183.645477, 79.972969, 1.028547
0.617000, 0.885955, -1.588957, 0.014703, 1.194052, 1.000000, -0.021084, 0.008889, -1.442020, -183.615463, 79.937546, -183.615463, 79.937546, 1.028672
0.650000, 0.937957, -1.291228, 0.004650, 1.241012, 1.000000, -0.021848, 0.008677, -1.421487, -183.583511, 79.901367, -183.583511, 79.901367, 1.028741
0.683000, 0.977396, -1.049199, -0.003911, 1.280725, 1.000000, -0.022309, 0.008307, -1.400391, -183.549820, 79.864731, -183.549820, 79.864731, 1.028767
0.716000, 1.052034, -1.099207, -0.006956, 1.323082, 0.988896, -0.022443, 0.007865, -1.378964, -183.514648, 79.827583, -183.514648, 79.827583, 1.028767
0.749000, 1.147172, -1.276575, -0.005886, 1.372457, 0.964531, -0.022204, 0.007439, -1.357523, -183.478317, 79.789604, -183.478317, 79.789604, 1.028753
0.782000, 1.183675, -1.191307, -0.006725, 1.419937, 0.939129, -0.021636, 0.007033, -1.336282, -183.441055, 79.750748, -183.441055, 79.750748, 1.028732
0.815000, 1.179386, -0.993306, -0.009292, 1.461591, 0.913779, -0.020808, 0.006620, -1.315383, -183.403030, 79.711166, -183.403030, 79.711166, 1.028702
0.848000, 1.150782, -0.771954, -0.012656, 1.496490, 0.889014, -0.019792, 0.006184, -1.294924, -183.364395, 79.671043, -183.364395, 79.671043, 1.028663
0.881000, 1.108710, -0.564294, -0.016021, 1.524955, 0.865038, -0.018658, 0.005718, -1.274964, -183.325287, 79.630562, -183.325287, 79.630562, 1.028617
0.914000, 1.059363, -0.382141, -0.018843, 1.547722, 0.841888, -0.017464, 0.005229, -1.255538, -183.285797, 79.589859, -183.285797, 79.589859, 1.028565
0.947000, 1.006593, -0.227692, -0.020922, 1.565617, 0.819533, -0.016255, 0.004723, -1.236664, -183.245987, 79.549072, -183.245987, 79.549072, 1.028509
0.980000, 0.953913, -0.101610, -0.022107, 1.579506, 0.797914, -0.015067, 0.004215, -1.218349, -183.205948, 79.508308, -183.205948, 79.508308, 1.028450
1.013000, 0.902656, -0.000238, -0.022476, 1.590147, 0.776956, -0.013924, 0.003716, -1.200591, -183.165726, 79.467628, -183.165726, 79.467628, 1.028393
1.046000, 0.853315, 0.081372, -0.022164, 1.598144, 0.756581, -0.012840, 0.003235, -1.183384, -183.125320, 79.427101, -183.125320, 79.427101, 1.028335
1.079000, 0.807436, 0.143784, -0.021291, 1.604095, 0.736715, -0.011827, 0.002781, -1.166719, -183.084793, 79.386749, -183.084793, 79.386749, 1.028281
